Reference, Value, Footprint, Datasheet, Manufacturer, Temperatura, Alimentacion, manf#
"IC1","ATTINY85-P","Housings_DIP:DIP-8_W7.62mm_LongPads","http://www.farnell.com/datasheets/1744708.pdf","ATMEL","+85/-40","5v","ATtiny85-20PU"
"D1","LED","LEDs:LED-3MM","","Maxim","+85/-40","5v","WP710A10QBC/D"
"L1","Coil","Resistors_ThroughHole:Resistor_Horizontal_RM10mm",""
"R1","330","Resistors_ThroughHole:Resistor_Horizontal_RM7mm","","","+85/-40","5v","ESR10EZPF3300"
"C1","100uF","theinventorhouse:CP_4x5mm","http://www.farnell.com/datasheets/1923743.pdf","Kemet","+85/-40","6.3v","107KXM010M"
"SW1","SW_PUSH","open-project:SW_PUSH_SMD",""
"P2","AVR ICSP","Pin_Headers:Pin_Header_Straight_2x03","","Maxim","+85/-40","5v",""
"P1","Battery","Pin_Headers:Pin_Header_Straight_1x02",""
"C3","0.1uF","Capacitors_ThroughHole:C_Disc_D3_P2.5","http://www.farnell.com/datasheets/2009679.pdf","WALSIN","+85/-40","50v","21RZ310-RC"
"U1","TC4424","Housings_DIP:DIP-8_W7.62mm_LongPads","http://www.farnell.com/datasheets/95980.pdf","Microchip","+85/-40","2.7-5v","TC4424CPA"
"C2","100uF","theinventorhouse:CP_4x5mm","http://www.farnell.com/datasheets/1923743.pdf","Kemet","+85/-40","6.3v","107KXM010M"
